constituency,level,scheme,year,Openning Balance,Total Fund Available,Total Expenditure on Wages,Total Expenditure on Materials,Total Expenditure on Tax,Total Expenditure on Admin Expenses,Grand Total Expenditure,Total Unspent Balance,Total Payment Due
aska,PC,MNREGA,2019-20,-1.3800000000000001,10397.8,8044.5599999999995,2348.5,2.32,0,10395.43,2.3200000000000003,128.92
balasore,PC,MNREGA,2019-20,-46.57,2250.54,1993.97,539.73,10.93,0,2544.52,-294.06,20.54
bargarh,PC,MNREGA,2019-20,79,8669.01,8323.86,2260.84,135.66,0,10720.4,-2051.27,90.36
berhampur,PC,MNREGA,2019-20,3.63,8242.9,6462.67,1803.33,0.65,0,8266.44,-23.6,170.71
bhadrak (sc),PC,MNREGA,2019-20,8.44,3003.31,2969.94,224.38,1.6500000000000001,0,3195.87,-192.56,159.07
bhubaneswar,PC,MNREGA,2019-20,-12.3,1037.92,933.79,180.81,0.89,0,1115.55,-77.56,6.05
bolangir,PC,MNREGA,2019-20,-66.28,12708.7,10980.68,1815.58,10.82,0,12807.16,-98.49000000000001,223.59
cuttack,PC,MNREGA,2019-20,0,1492.31,3016.39,834.17,3.59,0,3854.1,-2361.81,78.04
dhenkanal,PC,MNREGA,2019-20,49.87,8006.72,5862.97,2613.53,55.24,0,8531.93,-525.12,144.96
jagatsinghpur (sc),PC,MNREGA,2019-20,48.46,869.85,1326.41,504.52,9.540000000000001,0,1840.5,-970.65,30.18
jajpur (sc),PC,MNREGA,2019-20,-0.1,3904.97,3627.72,925.69,2.07,0,4555.52,-650.47,69.96
kalahandi,PC,MNREGA,2019-20,-63.58,9591.2,7620.43,2124.6,23.560000000000002,0,9768.63,-177.43,267.07
kandhamal,PC,MNREGA,2019-20,-18.759999999999998,9694.56,7978.2699999999995,2087.67,7.16,0,10073.01,-378.56,241.87
kendrapara,PC,MNREGA,2019-20,0,1975.64,4337.4,1357.57,5.69,0,5700.61,-3724.94,96.13
keonjhar (st),PC,MNREGA,2019-20,-262.99,14060.1,10664.47,3844.4,66.92,0,14575.8,-515.73,125.05
koraput (st),PC,MNREGA,2019-20,-745.41,18664.71,12311.1,7443.09,246.13,0,20000.45,-1335.78,444.63
mayurbhanj (st),PC,MNREGA,2019-20,-0.59,18726.48,9551.82,8963.74,86.04,0,18598.67,127.76,123.34
nabarangpur (st),PC,MNREGA,2019-20,13.809999999999999,16012.83,12443.7,3654.55,46.29,0,16144.59,-131.59,313.72
puri,PC,MNREGA,2019-20,3.17,3124,3025.01,453.37,13.24,0,3491.69,-367.74,61.72
sambalpur,PC,MNREGA,2019-20,44.12,6456.49,5019.99,1479.81,15.38,0,6515.31,-58.89,123.58
sundargarh (st),PC,MNREGA,2019-20,-0.97,13186.79,10617.25,2879.54,13.26,0,13510.08,-323.29,259.15
