constituency,level,scheme,year,SC,ST,Minority,Others,Total
aska,PC,PMAGY,2018-19,1885.8,1079.6,12.45,4688.3,7666.15
balasore,PC,PMAGY,2018-19,5734,6935.2,436.3,9303.4,22408.9
bargarh,PC,PMAGY,2018-19,7374.1,10219.9,29.1,11415.6,29038.7
berhampur,PC,PMAGY,2018-19,424.1,1704.2,124.95,4291,6544.25
bhadrak (sc),PC,PMAGY,2018-19,6341.1,706.6,673.4,14954.9,22676
bhubaneswar,PC,PMAGY,2018-19,213.6,177.1,136,3486.8,4013.5
bolangir,PC,PMAGY,2018-19,12438.65,13632,50.8,22688.8,48810.25
cuttack,PC,PMAGY,2018-19,2024.25,708,55,7172.8,9960.05
dhenkanal,PC,PMAGY,2018-19,5401.4,4423.6,5.3,8332.3,18162.6
jagatsinghpur (sc),PC,PMAGY,2018-19,2629.8,26.6,328.9,5949.5,8934.8
jajpur (sc),PC,PMAGY,2018-19,7407.6,1101.05,843.55,8421.25,17773.45
kalahandi,PC,PMAGY,2018-19,6211.65,16575.8,64.2,12437.6,35289.25
kandhamal,PC,PMAGY,2018-19,8453.9,7262.85,104.95,9525.4,25347.1
kendrapara,PC,PMAGY,2018-19,4229,172.79999999999998,816.3,12098.8,17316.9
keonjhar (st),PC,PMAGY,2018-19,3880.7,18903.15,31.6,6524.75,29340.2
koraput (st),PC,PMAGY,2018-19,1806,9430.05,200.1,6328.75,17764.9
mayurbhanj (st),PC,PMAGY,2018-19,2264.4,28059.95,272.1,5568.25,36164.7
nabarangpur (st),PC,PMAGY,2018-19,5156.25,25510.45,121.95,5879.2,36667.85
puri,PC,PMAGY,2018-19,3039.3,366.15,102.15,10481.45,13989.05
sambalpur,PC,PMAGY,2018-19,5783.65,10694,11,8688.75,25177.4
sundargarh (st),PC,PMAGY,2018-19,2113.25,19623.85,115.25,2837.5,24689.85
